"full_tag","l1","l2","l3","intent","trip_stage","definition","minded_equivalent_tag","easy_tag_category"
"misc::agentsforce_missed","misc","agentsforce_missed","","Customer missed or did not answer an outbound support call.","Any","Customer missed or did not answer an outbound support call.","agentsforce_missed","misc__agentsforce_missed"
"misc::blank_call_no_response","misc","blank_call_no_response","","Customer initiated contact, but no issue or response was provided.","Any","Customer initiated contact, but no issue or response was provided.","blank_call/no_response","misc__blank_call_no_response"
"misc::bug_alert","misc","bug_alert","","Customer reported a bug or technical issue with the platform.","Any","Customer reported a bug or technical issue with the platform.","bug_alert","misc__bug_alert"
"misc::bulk_resolve_email_temp","misc","bulk_resolve_email_temp","","Customer's email response was temporarily blocked or filtered.","Any","Customer's email response was temporarily blocked or filtered.","bulk_resolve_email_temp","misc__bulk_resolve_email_temp"
"misc::chat_abandoned","misc","chat_abandoned","","Customer abandoned the chat session before resolution.","Any","Customer abandoned the chat session before resolution.","chat_abandoned","misc__chat_abandoned"
"misc::email_deflected","misc","email_deflected","","Customer's email was blocked or redirected, preventing delivery.","Any","Customer's email was blocked or redirected, preventing delivery.","email_deflected","misc__email_deflected"
"misc::foreign_language_request","misc","foreign_language_request","","Customer requested support in a language other than English.","Any","Customer requested support in a language other than English.","foreign_language_request","misc__foreign_language_request"
"misc::fraudulent","misc","fraudulent","","Customer reported or suspected fraudulent activity.","Any","Customer reported or suspected fraudulent activity.","fraudulent","misc__fraudulent"
"misc::headout_drops","misc","headout_drops","","Customer contact concerns the support interaction dropped because of a Headout-side interruption before the issue was resolved.","Any","The support interaction dropped because of a Headout-side interruption before the issue was resolved.","headout_drops","misc__headout_drops"
"misc::issue_not_specified_dropped_midway","misc","issue_not_specified_dropped_midway","","Customer issue was not specified or session ended prematurely.","Any","Customer issue was not specified or session ended prematurely.","issue_not_specified/dropped_midway","misc__issue_not_specified_dropped_midway"
"misc::missed_chat_messaging","misc","missed_chat_messaging","","Customer's chat message was missed or not received.","Any","Customer's chat message was missed or not received.","missed_chat_messaging","misc__missed_chat_messaging"
"misc::no_action_needed","misc","no_action_needed","","Customer sent an acknowledgement or thank-you message with no new request or required action.","Any","Customer sent an acknowledgement or thank-you message with no new request or required action.","","misc__no_action_needed"
"misc::off_topic","misc","off_topic","","Customer contact concerns the interaction is unrelated to Headout, travel experiences, or a customer booking.","Any","The interaction is unrelated to Headout, travel experiences, or a customer booking.","","misc__off_topic"
"misc::vendor_query","misc","vendor_query","","Customer contact concerns a supplier, operator, or prospective partner contacted Headout about a vendor-related matter.","Any","A supplier, operator, or prospective partner contacted Headout about a vendor-related matter.","vendor_query","misc__vendor_query"
"booking_failure::inventory_issue","booking_failure","inventory_issue","","Customer contact concerns a booking could not be completed because the requested inventory or slot was unavailable.","Pre-booking","A booking could not be completed because the requested inventory or slot was unavailable.","","booking_failure__inventory_issue"
"booking_failure::payment_charged_no_booking","booking_failure","payment_charged_no_booking","","Customer was charged, but no booking was created or confirmed.","Pre-booking","Customer was charged, but no booking was created or confirmed.","","booking_failure__payment_charged_no_booking"
"booking_failure::payment_failure","booking_failure","payment_failure","","Customer contact concerns payment failed during booking process.","Pre-booking","Payment failed during booking process.","payment_failure__3ds_failure; payment_failure__sift/fingerprint_block","booking_failure__payment_failure"
"feature_issue::bnpl","feature_issue","bnpl","","Customer needs help with BNPL feature not functioning correctly.","Any","Issue with BNPL feature not functioning correctly.","reserve_now_pay_later","feature_issue__bnpl"
"feature_issue::dex_query","feature_issue","dex_query","","Customer needs help with DEX feature not working properly.","Any","Issue with DEX feature not working properly.","ticket_redemption_details__dex_query","feature_issue__dex_query"
"feature_issue::insured","feature_issue","insured","","Customer needs help with insurance feature not functioning as expected.","Any","Issue related to insurance feature not functioning as expected.","","feature_issue__insured"
"feature_issue::other","feature_issue","other","","Customer reports that a Headout product feature is not working as expected.","Any","Customer reports that a Headout product feature is not working as expected.","","feature_issue__other"
"general_information::about_headout","general_information","about_headout","","Customer is asking for information about Headout's company, mission, or services.","Any","Information about Headout's company, mission, or services.","general_information__about_headout","general_information__about_headout"
"general_information::accessibility","general_information","accessibility","","Customer is asking about accessibility, disability accommodations, mobility support, or special access.","Pre-booking","Customer is asking about accessibility, disability accommodations, mobility support, or special access.","","general_information__accessibility"
"general_information::combos","general_information","combos","","Customer is asking about package deals or combined experiences.","Pre-booking","Questions about package deals or combined experiences.","general_information__combos","general_information__combos"
"general_information::existing_availability","general_information","existing_availability","","Customer is asking about current availability of tickets or tours.","Pre-booking","Questions about current availability of tickets or tours.","general_information__existing_availablity","general_information__existing_availability"
"general_information::experience_related::faqs","general_information","experience_related","faqs","Customer has questions about the experience or service details.","Pre-booking","Common questions about the experience or service details.","general_information__experience_related__faqs","general_information__experience_related__faqs"
"general_information::experience_related::inclusions_exclusions_related","general_information","experience_related","inclusions_exclusions_related","Customer contact concerns clarifications needed about what is included or excluded in an experience.","Pre-booking","Clarifications needed about what is included or excluded in an experience.","general_information__experience_related__inclusions/exclusions_related","general_information__experience_related__inclusions_exclusions_related"
"general_information::experience_related::seat_availability","general_information","experience_related","seat_availability","Customer is concerned about the availability of seats or slots for a tour.","Pre-booking","Concerns about the availability of seats or slots for a tour.","general_information__experience_related__seat_availability","general_information__experience_related__seat_availability"
"general_information::experience_related::tour_timings","general_information","experience_related","tour_timings","Customer is asking about the scheduled timings of a tour or experience.","Pre-booking","Questions about the scheduled timings of a tour or experience.","general_information__experience_related__tour_timings","general_information__experience_related__tour_timings"
"general_information::group_bookings","general_information","group_bookings","","Customer is asking about or needs help with booking for groups.","Pre-booking","Questions or issues related to booking for groups.","general_information__group_bookings","general_information__group_bookings"
"general_information::headout_blog","general_information","headout_blog","","Customer contact concerns links or references to Headout's blog or content articles.","Any","Links or references to Headout's blog or content articles.","general_information__headout_blog","general_information__headout_blog"
"general_information::headout_credits","general_information","headout_credits","","Customer is asking about using or earning Headout credits.","Any","Inquiries about using or earning Headout credits.","general_information__headout_credits","general_information__headout_credits"
"general_information::invoice","general_information","invoice","","Customer contact concerns inquiries or problems regarding invoices or billing statements.","Any","Inquiries or problems regarding invoices or billing statements.","general_information__invoice","general_information__invoice"
"general_information::not_a_customer","general_information","not_a_customer","","Customer contact concerns the person contacting support is not a Headout customer or does not have a Headout booking.","Any","The person contacting support is not a Headout customer or does not have a Headout booking.","general_information__not_a_customer","general_information__not_a_customer"
"general_information::phishing","general_information","phishing","","Customer contact concerns suspected phishing attempts or fraudulent communication reports.","Any","Suspected phishing attempts or fraudulent communication reports.","general_information__phishing","general_information__phishing"
"general_information::pricing_related::convenience_fee","general_information","pricing_related","convenience_fee","Customer contact concerns questions regarding additional convenience or service fees.","Pre-booking","Questions regarding additional convenience or service fees.","general_information__pricing_related__convenience_fee","general_information__pricing_related__convenience_fee"
"general_information::pricing_related::offers_discount","general_information","pricing_related","offers_discount","Customer is asking about discounts, offers, or promotional pricing.","Pre-booking","Inquiries about discounts, offers, or promotional pricing.","general_information__pricing_related__offers/discount","general_information__pricing_related__offers_discount"
"general_information::rebooking_after_cancellation","general_information","rebooking_after_cancellation","","Customer is asking whether or how to book again after a booking was cancelled or failed.","Pre-booking","Customer is asking whether or how to book again after a booking was cancelled or failed.","","general_information__rebooking_after_cancellation"
